AbiBL,AbiLand,Abinote,BFI_K_1,BFI_K_11,BFI_K_12,BFI_K_13,BFI_K_14,BFI_K_16,BFI_K_17,BFI_K_18,BFI_K_19,BFI_K_2,BFI_K_3,BFI_K_4,BFI_K_6,BFI_K_7,BFI_K_8,BFI_K_9,BM_Inf_1,BM_Inf_10,BM_Inf_14,BM_Inf_15,BM_Inf_17,BM_Inf_18,BM_Inf_2,BM_Inf_3,BM_Inf_4,BM_Inf_6,BM_Inf_8,BM_Inf_9,GK_Inf,Ktyp_exp,Ktyp_psych,Kurs_Inf,LK_Inf,LK_Mat,LK_Phy,LMI_1,LMI_10,LMI_11,LMI_12,LMI_13,LMI_14,LMI_15,LMI_16,LMI_17,LMI_18,LMI_19,LMI_2,LMI_20,LMI_21,LMI_22,LMI_23,LMI_24,LMI_25,LMI_26,LMI_27,LMI_28,LMI_29,LMI_3,LMI_30,LMI_4,LMI_5,LMI_6,LMI_7,LMI_8,LMI_9,SKInf_1,SKInf_2,SKInf_3,SKInf_4,SKMat_1,SKMat_2,SKMat_3,SKMat_4,mean_BFI_K_E,mean_BFI_K_G,mean_BFI_K_N,mean_BFI_K_V,mean_LMI,mean_SKInf,mean_SKMat,sex,Std_Inf,Note_MfI1_20182_T01,Note_MfI1_20182_T02,MfI1_beste,Note_Prog1_20182_T01,Note_Prog1_20182_T02,Prog1_beste,beste,Prog1_normal,Prog1_scaled
0,2,2.6,2,2,4,5,5,5,5,5,4,4,5,4,4,4,4,5,4,2,3,4,1,1,4,4,4,3,2,4,2,10,14,0,2,1,1,7,6,6,7,7,3,3,6,7,7,7,7,7,6,6,7,5,4,7,7,5,6,5,7,5,7,7,6,6,7,1,3,1,2,5,5,5,5,3.25,4.75,4.5,4.25,6.1,1.75,5,1,0,500,500,500,600,500,500,500,0.007711287683789,444.536607884242
16,1,2.6,2,4,1,3,2,4,5,4,2,2,5,2,4,3,2,2,4,4,4,4,4,4,4,3,4,2,2,4,2,16,16,1,2,1,2,6,6,5,6,6,5,5,6,6,4,3,6,5,6,6,3,4,5,5,5,5,6,5,5,3,7,5,3,6,5,6,6,7,6,6,5,6,5,3.5,3.5,2,2.75,5.1,6.25,5.5,2,0,400,600,400,230,500,230,230,-0.003152195345516,228.203439477715
11,1,2.5,2,2,2,4,4,4,2,4,4,4,2,2,3,4,4,4,4,4,4,3,2,2,3,4,2,4,2,4,1,10,14,3,2,2,2,7,7,5,7,4,6,6,6,6,6,7,7,5,6,6,7,5,2,5,6,6,6,5,7,2,6,6,5,3,7,5,7,3,6,4,3,3,5,2.75,3.5,3.5,3,5.63333333333333,5.25,3.75,2,4,500,500,500,370,500,370,370,0.002480721780791,340.376193466299
11,1,2.5,4,2,2,2,3,4,2,4,4,3,2,3,3,1,2,4,4,3,4,3,2,3,4,4,4,4,3,3,1,14,10,5,2,1,2,5,3,4,4,4,4,4,3,4,5,5,5,4,4,3,5,5,5,5,5,3,4,2,5,5,6,4,6,4,4,6,6,5,6,5,4,5,4,3.25,2.5,3.5,2,4.3,5.75,4.5,2,4,500,200,200,200,200,200,200,-0.004359249015439,204.166420765875
11,1,2.5,2,4,2,4,1,2,4,4,2,4,2,2,4,2,2,1,3,4,3,1,3,3,3,4,4,3,4,3,1,16,16,3,1,1,2,5,3,5,5,5,5,2,5,5,4,5,5,5,7,6,6,4,2,6,5,6,3,5,4,4,5,5,5,6,5,6,7,6,6,6,6,6,5,3,3,1.5,3,4.76666666666667,6.25,5.75,2,4,400,200,200,600,200,200,200,-0.004359249015439,204.166420765875
9,1,2.5,1,3,1,3,5,2,1,5,2,1,3,5,3,1,3,5,4,4,4,4,1,1,4,4,4,4,4,2,2,2,2,0,2,2,2,7,5,2,4,7,7,7,7,1,7,4,7,7,7,7,7,7,7,4,7,7,3,4,7,7,7,5,7,7,4,5,5,4,3,5,3,5,3,2.25,3.5,4.25,1,5.86666666666667,4.25,4,2,0,500,500,500,370,500,370,370,0.002480721780791,340.376193466299
10,1,2.5,1,5,1,3,5,2,4,4,4,3,4,5,2,2,2,3,3,4,3,2,3,3,4,3,1,4,3,3,2,14,10,7,1,1,2,6,6,6,7,6,6,5,5,5,2,5,6,5,6,6,4,5,6,6,7,6,7,3,6,4,6,5,4,6,6,6,6,6,6,5,3,4,3,2.5,3.25,4.25,2.5,5.43333333333333,6,3.75,2,5,500,370,370,270,500,270,270,-0.001542790452285,260.252797760176
11,1,2.5,3,4,3,3,4,4,2,4,3,3,4,2,4,4,1,1,4,3,2,3,1,1,4,4,4,3,3,3,2,4,8,0,2,1,2,7,2,5,5,4,5,5,3,6,5,4,6,2,2,2,7,5,4,4,5,4,5,3,4,5,5,3,6,5,4,4,4,1,4,5,6,5,5,3.75,3,2.5,3,4.4,3.25,5.25,2,0,500,500,500,600,500,500,500,0.007711287683789,444.536607884242
11,1,2.5,2,4,2,4,2,2,2,2,2,4,4,3,2,3,1,2,4,4,3,3,1,2,4,3,3,3,1,2,2,14,10,2,2,1,1,5,3,3,3,3,3,5,4,4,3,3,4,3,4,4,4,4,3,5,6,3,3,2,3,3,4,4,4,4,3,4,5,2,5,4,5,5,4,2.5,2.75,2.25,2.75,3.63333333333333,4,4.5,2,0,600,500,500,600,500,500,500,0.007711287683789,444.536607884242
11,1,2.5,2,4,1,2,4,2,1,4,2,2,3,2,5,2,1,2,3,4,3,4,3,3,3,4,3,3,2,3,2,16,16,1,2,1,2,6,7,4,7,7,5,4,7,5,3,6,4,5,5,5,3,3,6,5,5,7,6,5,6,3,5,6,5,4,7,4,5,4,5,5,5,5,6,3.25,2.5,2.5,1.5,5.2,4.5,5.25,2,0,500,170,170,270,170,170,170,-0.005566302685361,180.129402054054
11,1,2.4,5,2,1,3,3,4,2,3,2,5,2,3,4,4,2,2,3,4,3,3,2,3,3,2,3,3,2,2,1,10,14,1,2,2,2,6,5,4,4,4,5,1,5,5,6,6,7,5,5,3,5,5,5,5,7,5,5,3,6,4,6,4,4,5,6,4,4,4,4,4,4,3,3,3.75,2.5,2.5,3,4.86666666666667,4,3.5,2,2,500,600,500,500,500,500,500,0.007711287683789,444.536607884242
11,1,2.4,1,2,2,2,5,2,4,2,4,1,2,5,3,1,1,3,3,4,4,4,2,2,3,3,3,4,3,2,1,10,14,3,1,1,2,5,3,1,3,3,3,5,3,5,5,3,3,2,4,4,5,4,5,5,3,3,3,3,4,3,3,3,3,2,5,4,5,3,4,5,5,4,4,2,1.75,4.25,2,3.53333333333333,4,4.5,2,4,500,500,500,500,500,500,500,0.007711287683789,444.536607884242
11,1,2.4,2,4,2,4,3,4,2,2,3,5,4,2,4,3,4,3,3,4,3,2,2,3,3,4,4,3,4,3,1,16,16,3,2,1,2,6,6,5,6,6,6,3,6,5,4,5,5,6,5,5,5,4,4,6,5,6,5,5,5,3,6,7,5,5,5,4,4,2,4,6,5,5,5,3.5,3.5,2.75,3,5.16666666666667,3.5,5.25,2,2,500,130,130,200,500,200,130,-0.007175707578592,148.080043771593
11,1,2.4,2,3,2,5,4,2,4,5,5,2,4,4,5,5,4,5,3,4,3,4,3,2,4,3,3,4,3,4,1,10,14,1,2,1,2,6,6,6,5,5,6,7,6,5,7,6,6,5,6,6,7,5,7,5,5,5,6,4,5,4,5,3,6,3,5,5,6,5,4,4,5,4,4,3,4.5,4.5,3.25,5.43333333333333,5,4.25,1,2,500,500,500,500,500,500,500,0.007711287683789,444.536607884242
11,1,2.4,2,4,1,2,3,2,2,4,3,2,4,2,3,4,4,2,3,4,4,3,1,3,4,3,3,4,3,3,2,16,16,0,2,1,2,4,5,4,5,5,6,5,5,4,3,5,5,5,5,6,5,4,4,4,5,5,4,4,5,1,6,5,4,4,6,4,4,1,4,5,5,5,4,2.75,3.5,2.5,2.25,4.6,3.25,4.75,2,0,370,330,330,100,330,100,100,-0.008382761248515,124.043025059752
11,1,2.4,4,3,2,2,2,4,5,5,3,3,4,2,4,4,1,1,4,4,4,2,1,1,4,4,4,4,1,3,2,10,14,0,2,2,2,6,4,4,5,5,6,3,5,5,6,4,6,2,5,2,6,6,6,3,4,6,7,1,3,3,5,2,6,6,5,4,4,1,4,3,4,2,4,3.75,3,2,3.5,4.56666666666667,3.25,3.25,2,0,600,600,600,500,600,500,500,0.007711287683789,444.536607884242
11,1,2.4,2,2,2,4,5,2,2,4,3,2,5,3,4,5,3,2,4,4,3,2,3,3,4,4,3,4,3,3,2,16,16,3,1,1,2,7,6,5,5,5,5,6,4,7,5,5,7,6,6,7,6,5,6,5,6,5,5,5,6,5,6,5,5,6,6,6,5,4,5,6,5,6,6,2.5,4,3.25,2.75,5.6,5,5.75,2,5,500,270,270,270,270,270,270,-0.001542790452285,260.252797760176
11,1,2.3,1,4,1,4,4,3,5,2,5,3,2,4,5,5,2,1,4,4,4,3,3,3,3,3,4,3,2,3,1,14,10,3,2,1,2,7,4,7,5,5,6,5,4,5,6,7,7,3,6,4,5,4,6,3,5,6,6,3,7,6,6,5,5,6,3,5,5,6,5,6,5,5,6,3.25,2.5,3.5,3.5,5.23333333333333,5.25,5.5,2,2,600,600,600,330,600,330,330,0.00087131688756,308.326835183838
11,1,2.3,4,2,1,2,5,4,1,5,3,2,2,4,4,2,2,2,3,4,3,1,2,2,4,3,3,4,3,2,1,8,4,4,1,1,2,5,6,5,3,5,5,1,5,4,5,5,4,5,5,4,2,4,3,3,5,5,4,6,4,1,5,5,2,3,4,5,5,5,4,4,3,4,5,3.5,2.75,3.5,1.5,4.1,4.75,4,2,4,600,600,600,230,500,230,230,-0.003152195345516,228.203439477715
11,1,2.3,2,3,2,4,1,3,3,4,2,4,3,2,4,3,2,2,4,4,3,3,3,3,4,3,3,3,4,3,1,16,16,3,2,1,2,5,6,4,6,5,6,2,7,6,4,4,5,4,5,4,3,4,4,4,4,5,4,6,4,4,4,6,3,5,6,5,6,5,6,5,5,5,5,3,3.25,1.75,3,4.63333333333333,5.5,5,2,4,500,600,500,500,500,500,500,0.007711287683789,444.536607884242
11,1,2.3,4,1,3,4,3,5,5,2,1,3,2,1,5,4,4,1,4,4,2,2,1,2,4,3,3,4,4,3,1,16,16,5,2,1,2,7,6,6,6,4,7,1,6,6,6,6,4,5,6,5,5,4,6,5,5,6,6,6,5,4,6,6,5,5,4,5,7,5,6,5,6,5,5,3.75,3,1.5,3.75,5.3,5.75,5.25,2,4,500,500,500,500,500,500,500,0.007711287683789,444.536607884242
8,1,2.3,2,4,4,2,3,2,4,2,4,4,4,4,4,4,1,3,3,4,2,2,2,1,4,2,3,3,2,3,2,16,16,0,2,1,1,6,6,5,4,5,3,3,5,2,4,3,6,5,3,7,3,3,4,5,4,6,4,5,6,2,7,5,3,5,6,5,5,2,4,6,5,4,4,3,2.25,3.5,4,4.5,4,4.75,1,0,600,600,600,100,600,100,100,-0.008382761248515,124.043025059752
10,1,2.3,2,4,3,2,5,4,2,3,4,4,2,4,4,4,1,3,4,4,3,2,2,3,3,3,3,3,3,3,2,14,10,3,1,2,2,5,2,5,5,3,6,6,3,5,4,3,5,2,5,5,6,3,4,6,3,4,3,1,5,4,5,5,4,3,4,5,5,4,4,4,4,3,4,3.5,2,4,3.25,4.13333333333333,4.5,3.75,2,5,500,330,330,230,500,230,230,-0.003152195345516,228.203439477715
11,1,2.3,1,4,2,3,5,2,5,2,5,4,4,4,3,5,2,4,3,4,2,2,1,3,3,4,2,3,4,3,2,10,14,1,2,2,2,7,3,4,5,6,5,6,5,5,5,2,5,3,6,3,6,5,5,5,5,3,5,2,5,1,7,6,7,1,4,4,5,1,5,6,6,6,5,2.5,2.75,4.5,4,4.56666666666667,3.75,5.75,1,0,500,500,500,600,500,500,500,0.007711287683789,444.536607884242
16,1,2.3,2,3,2,3,4,2,3,1,2,3,3,3,4,5,2,2,4,4,4,4,3,3,4,3,2,3,2,3,2,10,14,6,1,2,2,3,5,5,5,6,3,3,5,6,5,3,5,5,5,6,2,1,5,6,5,6,3,5,3,1,5,3,2,5,5,5,6,5,6,5,5,5,4,2.75,2.25,2.75,3.25,4.23333333333333,5.5,4.75,2,7,500,500,500,330,500,330,330,0.00087131688756,308.326835183838
11,1,2.2,5,1,4,3,4,5,5,3,2,4,3,3,4,4,1,3,4,4,3,3,2,2,4,4,4,3,3,3,2,4,8,3,1,1,2,5,4,5,4,4,5,3,5,3,6,3,4,3,5,4,5,3,6,6,7,4,5,3,6,1,5,5,5,6,4,6,6,5,6,5,5,4,5,3.75,2.5,3,4.25,4.46666666666667,5.75,4.75,2,4,370,600,370,170,600,170,170,-0.005566302685361,180.129402054054
6,1,2.1,2,2,2,1,5,4,4,4,2,2,1,3,3,5,1,3,4,4,4,4,2,2,4,4,4,4,3,3,1,16,16,4,2,1,2,7,5,6,7,5,6,5,7,3,3,4,5,6,7,5,7,4,3,7,6,5,5,3,7,4,7,3,7,4,6,6,6,6,6,6,6,6,6,2.75,1.75,3.25,3.25,5.3,6,6,2,3,600,600,600,500,500,500,500,0.007711287683789,444.536607884242
9,1,2.1,2,3,1,3,4,3,4,5,3,3,4,5,5,2,2,1,4,4,3,3,2,2,3,4,4,3,1,3,1,16,16,4,2,1,2,6,3,6,6,7,5,7,4,7,6,3,7,7,7,7,4,2,7,3,7,3,5,3,5,1,5,5,2,6,1,6,6,5,5,5,3,4,4,3.25,3.5,3.25,2.5,4.9,5.5,4,2,3,500,500,500,500,500,500,500,0.007711287683789,444.536607884242
10,1,2.1,3,2,4,1,4,2,4,3,4,3,2,3,5,4,1,2,3,4,3,4,2,3,2,4,3,4,3,3,1,16,16,6,2,2,2,7,6,5,6,6,6,6,5,5,5,4,7,6,6,7,7,7,5,6,6,6,5,6,6,3,6,5,7,2,5,5,6,5,6,3,4,3,3,3,1.75,3.25,3.75,5.63333333333333,5.5,3.25,2,2,500,500,500,500,500,500,500,0.007711287683789,444.536607884242
10,1,2.1,1,5,2,4,2,2,3,4,4,4,4,2,2,4,3,2,4,4,3,4,2,2,3,3,2,3,4,3,1,16,16,3,2,1,1,6,6,4,5,6,5,5,5,4,3,4,5,5,5,7,3,4,5,5,5,5,3,3,4,4,6,5,3,5,5,5,5,4,4,6,5,5,6,2.5,3.75,2.5,3.25,4.66666666666667,4.5,5.5,2,3,300,600,300,130,600,130,130,-0.007175707578592,148.080043771593
11,1,2.1,2,2,5,2,5,2,5,4,4,5,2,4,3,4,1,3,4,4,4,4,4,4,4,4,4,4,3,4,1,16,16,2,2,1,2,7,7,5,7,7,7,7,7,5,4,3,7,4,6,6,6,5,6,6,5,7,5,6,7,4,7,7,5,6,5,6,7,6,5,5,5,5,4,2.25,2.25,4,4.75,5.86666666666667,6,4.75,2,4,400,600,400,170,600,170,170,-0.005566302685361,180.129402054054
11,1,2.1,2,2,5,3,5,4,5,4,5,2,4,4,5,5,2,3,2,3,3,2,3,3,2,4,3,4,1,2,1,10,14,4,2,1,2,3,7,5,4,5,2,6,7,5,7,2,4,5,6,4,1,5,7,3,6,5,5,3,6,6,6,7,1,5,5,5,5,5,4,5,3,4,3,3.25,3.25,4.25,4.25,4.76666666666667,4.75,3.75,2,4,500,500,500,600,500,500,500,0.007711287683789,444.536607884242
11,1,2.1,2,5,1,4,1,3,2,4,2,4,2,3,4,4,1,2,4,4,3,4,2,3,4,4,4,3,2,3,2,16,16,2,2,2,1,7,5,7,7,7,7,7,5,7,5,5,7,7,7,7,7,5,7,5,5,5,7,1,5,7,7,3,7,7,7,5,6,3,5,5,6,6,6,3.5,2.75,2,2.75,6.06666666666667,4.75,5.75,2,0,500,500,500,600,500,500,500,0.007711287683789,444.536607884242
11,1,2.1,3,2,2,2,2,4,4,3,3,3,4,2,4,4,2,1,4,4,3,3,3,3,4,4,3,4,3,3,2,16,16,3,1,1,2,7,5,4,5,5,4,1,4,5,6,6,7,5,5,4,7,4,6,5,5,5,5,3,4,4,5,5,5,6,5,6,6,5,5,5,5,5,5,3.25,2.75,2,3.25,4.9,5.5,5,2,4,500,500,500,400,500,400,400,0.003687775450713,364.41321217812
16,1,2.1,2,5,1,4,3,1,3,1,4,2,3,3,4,4,2,2,3,4,2,1,3,3,3,4,2,3,3,4,2,14,10,2,1,1,1,5,5,4,6,7,3,7,4,4,1,3,5,2,3,4,6,3,3,5,4,3,4,1,5,3,5,5,5,5,5,5,5,5,5,5,5,6,5,3,2.5,3,2.5,4.16666666666667,5,5.25,2,4,400,600,400,200,600,200,200,-0.004359249015439,204.166420765875
11,1,2,2,4,3,4,4,4,2,4,1,4,5,3,3,3,4,4,4,4,4,4,3,3,4,4,3,4,2,3,1,2,2,3,2,1,2,7,6,6,6,5,6,7,6,7,5,7,6,4,7,6,7,6,4,6,6,6,5,4,7,5,7,5,7,5,6,5,6,5,6,6,4,5,4,3.25,4.25,3,3,5.9,5.5,4.75,2,4,500,400,400,270,400,270,270,-0.001542790452285,260.252797760176
11,1,2,2,4,1,3,4,5,2,4,5,4,4,4,4,2,3,4,4,4,4,3,2,3,3,3,4,3,3,2,1,8,4,3,2,1,2,6,3,4,3,6,5,5,3,3,5,4,5,5,4,4,5,4,5,5,5,7,4,1,5,5,6,3,5,5,6,5,5,4,5,4,4,5,3,3.75,3.5,4.25,2.25,4.53333333333333,4.75,4,2,4,600,600,600,170,600,170,170,-0.005566302685361,180.129402054054
1,1,2,4,2,2,4,3,3,3,5,3,3,4,3,4,3,3,5,4,4,4,4,2,3,4,4,4,3,2,3,2,16,16,1,2,1,1,7,4,5,5,6,6,4,6,5,6,6,7,6,5,6,7,6,6,6,5,6,5,2,5,7,7,6,7,6,5,6,7,4,6,6,6,6,6,3.25,4,3.5,2.75,5.66666666666667,5.75,6,2,0,400,370,370,230,230,230,230,-0.003152195345516,228.203439477715
10,1,2,2,4,4,4,5,2,3,2,5,5,5,4,3,2,3,4,4,4,4,4,2,3,4,4,3,3,3,3,2,8,4,5,1,1,2,6,5,3,5,5,3,5,6,5,3,3,4,7,5,7,4,5,6,4,7,6,7,3,6,3,6,5,2,7,5,5,6,5,6,5,5,4,5,2.75,3.5,4.5,3.5,4.93333333333333,5.5,4.75,1,4,500,230,230,170,230,170,170,-0.005566302685361,180.129402054054
11,1,2,3,4,2,3,4,4,3,4,3,2,3,1,4,3,5,5,3,4,3,3,3,3,3,4,4,3,3,2,2,10,14,4,1,2,2,5,5,2,5,5,3,4,5,5,4,5,4,4,6,6,5,4,3,5,5,5,5,3,6,3,5,5,4,5,4,5,5,5,6,5,5,5,4,3.75,3.75,3.25,2.5,4.5,5.25,4.75,2,4,600,370,370,170,370,170,170,-0.005566302685361,180.129402054054
11,1,2,3,4,2,3,2,4,3,4,2,4,4,3,4,3,2,2,3,4,3,3,3,3,4,3,3,2,3,3,2,16,16,6,1,1,2,7,5,3,5,6,5,6,4,5,4,4,6,4,5,5,6,4,6,5,6,6,5,5,5,4,6,4,7,4,5,6,6,6,5,5,6,5,5,3.75,3.25,2.25,3,5.06666666666667,5.75,5.25,2,5,370,600,370,130,600,130,130,-0.007175707578592,148.080043771593
11,1,2,1,5,1,1,5,1,5,1,4,5,1,5,5,4,1,2,4,4,4,4,1,1,4,4,4,4,2,3,2,16,16,1,2,1,2,6,2,2,2,1,6,2,2,1,3,3,5,6,2,6,6,1,5,5,3,3,2,3,5,1,7,2,5,6,3,5,5,2,5,6,5,3,6,3,1,4,3.75,3.53333333333333,4.25,5,2,2,500,400,400,500,500,500,400,0.003687775450713,364.41321217812
16,1,2,3,2,3,3,5,5,5,4,4,2,5,4,4,3,4,5,4,4,1,3,1,3,4,4,4,3,3,2,2,10,14,0,2,1,2,7,7,6,7,5,7,3,7,3,4,4,5,4,7,7,5,5,6,4,4,7,4,7,5,5,6,5,7,6,7,4,5,2,4,4,6,4,4,3.5,4,4.5,3.25,5.53333333333333,3.75,4.5,1,0,500,400,400,500,330,330,330,0.00087131688756,308.326835183838
6,1,1.9,2,4,3,2,5,2,2,3,4,2,2,5,3,4,1,4,3,3,4,4,2,2,3,3,3,4,2,3,1,8,4,2,2,1,2,6,3,4,4,3,4,6,4,6,6,6,6,7,7,7,5,3,7,5,6,4,2,4,5,2,5,3,4,6,5,6,6,5,6,4,4,4,2,2.75,2,4.5,2.75,4.83333333333333,5.75,3.5,2,4,500,300,300,300,300,300,300,-0.000335736782363,284.289816471997
10,1,1.9,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,8,4,3,2,1,1,6,3,5,4,4,4,5,4,4,4,4,5,4,4,5,5,4,5,4,6,5,4,3,5,4,5,3,5,4,4,6,6,6,5,4,3,5,4,3,3,2.75,3,4.36666666666667,5.75,4,2,3,400,600,400,130,600,130,130,-0.007175707578592,148.080043771593
11,1,1.9,4,1,2,3,5,5,2,3,2,4,4,3,4,4,3,3,4,4,2,3,3,3,4,3,3,3,4,3,1,10,14,3,1,2,2,5,5,4,6,5,6,4,6,6,4,3,6,2,5,6,5,4,5,4,5,6,6,4,7,3,5,6,5,7,4,7,6,6,7,6,6,5,5,3.5,3.25,3.25,3,4.96666666666667,6.5,5.5,2,4,500,500,500,370,500,370,370,0.002480721780791,340.376193466299
